Room type,Name,Descriptions,Rating,Price
Entire serviced apartment in Kuala Lumpur,LUXURY Studio with NETFLIX & SKY POOL at CEYLONZ,"4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.86,$19 per night
Entire serviced apartment in Kuala Lumpur,★Studio★KL★JLN TUN RAZAK★10min KLCC★IJN★TV Box★,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen",4.77,$26 per night
Entire rental unit in Kuala Lumpur,Staycation for Fully Vaccinated Guest. KLCC area,"2 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.95,$35 per night
Entire serviced apartment in Kuala Lumpur,"350M TO KLCC,VORTEX HIGH FLOOR KLCC VIEW@BLACKNEST","6 guests, 3 bedrooms, 3 beds, 2 baths, Wifi, Air conditioning, Kitchen",,$11 per night
Hotel room in Kuala Lumpur,Superior Queen Room,"2 guests, 1 bedroom, 1 bed, 1 private bath, Wifi, Air conditioning, Self check-in",4.51,$13 per night
Entire serviced apartment in Kuala Lumpur,Elias KL View Suite @ Times Square Bukit Bintang,"2 guests, 1 bedroom, 1 bed, 1.5 baths, Air conditioning, Self check-in",4.74,$19 per night
Entire serviced apartment in Kuala Lumpur,Monthly Package Studio Unit @ Ceylonz,"2 guests, 1 bedroom, 0 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",,$13 per night
Entire rental unit in Kuala Lumpur,KS08- Truly Bright & Stylist Room in Bukit Bintang,"3 guests, 1 bedroom, 2 beds, 1 bath, Wifi, Air conditioning, Self check-in",4.64,$10 per night
Entire condominium (condo) in Bukit Bintang,Roomy' business WFH (provide early check in)#1,"3 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.74,$23 per night
Entire serviced apartment in Kuala Lumpur,Netflix★KLCC View★10min walk Bukit Bintang★Ceylon,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning",4.82,$30 per night
Entire serviced apartment in Kuala Lumpur,Expressionz-KLCC-View-Studio-Apartment-High-Floor❀,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning",4.81,$26 per night
Entire rental unit in Kuala Lumpur,Staycation l Netflix l Fully Vaccinated accepted,"3 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.67,$40 per night
Entire rental unit in Kuala Lumpur,Monthly Stay★Netflix★Bukit Bintang★Infinity Pool,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen",4.74,$32 per night
Entire rental unit in Kuala Lumpur,"CozyStudio1, KLCC with Netflix","2 guests, Studio, 0 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.66,$23 per night
Entire condominium (condo) in Kuala Lumpur,Roomy' business WFH (provide early check in)#2,"4 guests, Studio, 3 beds, 1 bath, Wifi, Air conditioning, Kitchen",4.62,$23 per night
Entire condominium (condo) in Kuala Lumpur,KLCC NetflixWifi cozy studio Gleneagles embassy,"3 guests, 1 bedroom, 1 bed, 1.5 baths, Wifi, Air conditioning, Kitchen, Self check-in",4.78,$16 per night
Entire rental unit in Kuala Lumpur,Dorsett. Rooftop pool. Pavilion.1R1B #D7.1,"2 guests, 1 bedroom, 1 bed, 1.5 baths, Wifi, Air conditioning, Kitchen, Self check-in",4.5,$29 per night
Entire rental unit in Kuala Lumpur,Bali Style Teak Wood Furniture 1BR w Infinity Pool,"4 guests, 1 bedroom, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.82,$21 per night
Entire rental unit in Kuala Lumpur,Designer Apt w/ Amazing Balcony @ Bukit Bintang,"4 guests, 1 bedroom, 2 beds, 1 bath, Wifi, Air conditioning, Self check-in",4.71,$16 per night
Entire condominium (condo) in Kuala Lumpur,KLCC ALG Suite LEISURE 1-BD @ Arte+ Jalan Ampang,"2 guests, 1 bedroom, 1 bed, 2 baths, Wifi, Air conditioning, Kitchen, Self check-in",4.52,$21 per night
,,,,
Entire serviced apartment in Kuala Lumpur,Expressionz-KLCC-View-Studio-Apartment-High-Floor❀,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning",4.81,$26 per night
Entire rental unit in Kuala Lumpur,Staycation l Netflix l Fully Vaccinated accepted,"3 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.67,$40 per night
Entire rental unit in Kuala Lumpur,Monthly Stay★Netflix★Bukit Bintang★Infinity Pool,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen",4.74,$32 per night
Entire rental unit in Kuala Lumpur,"CozyStudio1, KLCC with Netflix","2 guests, Studio, 0 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.66,$23 per night
